,recommendation 1,recommendation 2
516,745,553
1099,1139,1187
356,571,357
357,571,1125
1125,1186,1144
553,745,568
1147,1187.0,
361,551,1138
1138,1144,1139
1140,1185,1141
551,566,552
745,1139,1099
568,745,1099
514,551,515
517,551,750
566,794,570
363,511,562
511,562,551
562,563,777
563,566,777
509,745,553
1144,1186,1146
672,745,1138
552,564,566
571,1125,765
513,551,1141
1141,1188,1185
744,749,757
862,1100,863
679,777,764
750,753,829
800,1125,908
569,572,840
840,1161,1145
765,1125,912
1187,1188.0,
1100,1102,1103
1103,1125,1115
502,551,566
564,566,809
865,1103,1100
764,794,777
1139,1146,1187
1186,1187,1198
366,551,515
367,551,515
519,551,523
809,1115,908
515,551,523
912,1125,1186
489,551,515
523,551,552
864,1125,1138
1101,1102,1103
1146,1147,1187
776,777,794
671,750,753
753,777,764
829,908,1100
490,566,551
1102,1103,1115
803,1125,907
659,750,671
909,1100,1124
794,809,1103
518,551,523
907,1103,908
777,794,1103
908,1100,1102
360,745,516
813,1138,1100
835,1099,1100
741,764,756
752,809,1115
814,840,1100
1115,1184,1181
1116,1124,1129
1161,1181,1182
863,908,1100
743,757,809
504,572,569
572,840,1161
810,840,908
1124,1128,1129
1128,1141,1129
742,1141,777
1104,1115,1184
503,551,513
664,791,1140
507,570,752
570,752,809
1185,1188,1187
1198,,
365,551,566
359,570,507
791,794,1103
1156,1181,1185
362,363,562
1184,,
911,1101,1103
358,570,752
1160,,
757,794,1103
508,570,752
1181,1184.0,
755,809,1115
1145,1161,1156
1188,,
756,764,777
866,1103,1104
749,794,757
368,572,569
364,551,503
834,1102,1103
1152,1160.0,
670,756,764
1199,,
836,1141,1100
1201,,
1129,1161,1138
1182,1187.0,
902,,
837,840,1161
1200,,
833,,
830,907,1116
